,window sizes,profit
0,"5, 10, 15",-11
1,"5, 10, 20",77.5
2,"5, 10, 25",124
3,"5, 10, 30",68.7
4,"5, 10, 35",179
5,"5, 10, 40",132
6,"5, 10, 45",98.8
7,"5, 10, 50",111
8,"5, 15, 20",89.8
9,"5, 15, 25",117
10,"5, 15, 30",171
11,"5, 15, 35",209
12,"5, 15, 40",151
13,"5, 15, 45",109
14,"5, 15, 50",111
15,"5, 20, 25",113
16,"5, 20, 30",37.1
17,"5, 20, 35",38.6
18,"5, 20, 40",46
19,"5, 20, 45",84.7
20,"5, 20, 50",133
21,"5, 25, 30",-8.7
22,"5, 25, 35",26.8
23,"5, 25, 40",103
24,"5, 25, 45",107
25,"5, 25, 50",126
26,"5, 30, 35",36.6
27,"5, 30, 40",209
28,"5, 30, 45",202
29,"5, 30, 50",135
30,"5, 35, 40",279
31,"5, 35, 45",245
32,"5, 35, 50",186
33,"5, 40, 45",62
34,"5, 40, 50",130
35,"5, 45, 50",115
36,"10, 15, 20",14.6
37,"10, 15, 25",78.3
38,"10, 15, 30",122
39,"10, 15, 35",155
40,"10, 15, 40",177
41,"10, 15, 45",133
42,"10, 15, 50",100
43,"10, 20, 25",25
44,"10, 20, 30",66.5
45,"10, 20, 35",61.1
46,"10, 20, 40",73.3
47,"10, 20, 45",126
48,"10, 20, 50",130
49,"10, 25, 30",18.2
50,"10, 25, 35",151
51,"10, 25, 40",128
52,"10, 25, 45",120
53,"10, 25, 50",185
54,"10, 30, 35",58.2
55,"10, 30, 40",156
56,"10, 30, 45",139
57,"10, 30, 50",118
58,"10, 35, 40",138
59,"10, 35, 45",256
60,"10, 35, 50",144
61,"10, 40, 45",203
62,"10, 40, 50",130
63,"10, 45, 50",196
64,"15, 20, 25",69.8
65,"15, 20, 30",247
66,"15, 20, 35",165
67,"15, 20, 40",136
68,"15, 20, 45",165
69,"15, 20, 50",200
70,"15, 25, 30",149
71,"15, 25, 35",147
72,"15, 25, 40",182
73,"15, 25, 45",206
74,"15, 25, 50",199
75,"15, 30, 35",9.85
76,"15, 30, 40",91.8
77,"15, 30, 45",143
78,"15, 30, 50",105
79,"15, 35, 40",62.5
80,"15, 35, 45",325
81,"15, 35, 50",250
82,"15, 40, 45",308
83,"15, 40, 50",299
84,"15, 45, 50",170
85,"20, 25, 30",195
86,"20, 25, 35",181
87,"20, 25, 40",178
88,"20, 25, 45",273
89,"20, 25, 50",346
90,"20, 30, 35",140
91,"20, 30, 40",200
92,"20, 30, 45",450
93,"20, 30, 50",465
94,"20, 35, 40",186
95,"20, 35, 45",386
96,"20, 35, 50",331
97,"20, 40, 45",473
98,"20, 40, 50",378
99,"20, 45, 50",79.1
100,"25, 30, 35",587
101,"25, 30, 40",303
102,"25, 30, 45",230
103,"25, 30, 50",501
104,"25, 35, 40",103
105,"25, 35, 45",229
106,"25, 35, 50",179
107,"25, 40, 45",264
108,"25, 40, 50",185
109,"25, 45, 50",120
110,"30, 35, 40",203
111,"30, 35, 45",207
112,"30, 35, 50",196
113,"30, 40, 45",252
114,"30, 40, 50",206
115,"30, 45, 50",43.8
116,"35, 40, 45",134
117,"35, 40, 50",154
118,"35, 45, 50",-3.8
